AccidentUID,AccidentType,AccidentType_en,AccidentSeverityCategory,AccidentSeverityCategory_en,AccidentInvolvingPedestrian,AccidentInvolvingBicycle,AccidentInvolvingMotorcycle,RoadType,AccidentYear,AccidentMonth,AccidentMonth_en,AccidentWeekDay,AccidentWeekDay_en,AccidentHour,AccidentHour_text,Longitude,Latitude
AAC434B242FB00E0E0430A83942700E0,at0,Accident with skidding or self-accident,as3,Accident with light injuries,False,True,False,rt432,2011,9,September,aw406,Saturday,18.0,18h-19h,9.39451917993024,47.43106936341612
AF8EFC1CD40500A2E0430A83942700A2,at0,Accident with skidding or self-accident,as2,Accident with severe injuries,False,False,False,rt430,2011,9,September,aw403,Wednesday,22.0,22h-23h,9.361349490651374,47.42199032963177
AB2717D6EB7200C4E0430A83942700C4,at0,Accident with skidding or self-accident,as3,Accident with light injuries,False,False,True,rt432,2011,9,September,aw404,Thursday,21.0,21h-22h,9.30136847279733,47.39973427912497
ADD98E7BDCFE005EE0430A839427005E,at8,Accident involving pedestrian(s),as3,Accident with light injuries,True,True,False,rt439,2011,9,September,aw405,Friday,11.0,11h-12h,9.366480537159466,47.419817581724296
B01C02B1272B0092E0430A8394270092,at2,Accident with rear-end collision,as3,Accident with light injuries,False,False,False,rt430,2011,9,September,aw405,Friday,17.0,17h-18h,9.350521939932936,47.42465307917211
ADD98E7BBCFD005EE0430A839427005E,at3,Accident when turning left or right,as3,Accident with light injuries,False,True,False,rt432,2011,9,September,aw405,Friday,18.0,18h-19h,9.386082849477768,47.424806049056514
AE9399842BF10106E0430A8394270106,at8,Accident involving pedestrian(s),as3,Accident with light injuries,True,False,False,rt433,2011,9,September,aw405,Friday,21.0,21h-22h,9.357425499458364,47.41720627034388
AEEF82EE25D000CCE0430A83942700CC,at2,Accident with rear-end collision,as3,Accident with light injuries,False,False,False,rt430,2011,9,September,aw403,Wednesday,18.0,18h-19h,9.382395255458295,47.43237150425574
AE9399842D290106E0430A8394270106,at3,Accident when turning left or right,as3,Accident with light injuries,False,False,False,rt433,2011,9,September,aw401,Monday,14.0,14h-15h,9.370810763903613,47.42371286548814
AE9399842DE90106E0430A8394270106,at3,Accident when turning left or right,as3,Accident with light injuries,False,True,False,rt432,2011,9,September,aw402,Tuesday,10.0,10h-11h,9.381280291102387,47.43015903251654
ADD9CF99C0F9014EE0430A839427014E,at2,Accident with rear-end collision,as3,Accident with light injuries,False,False,False,rt432,2011,9,September,aw402,Tuesday,15.0,15h-16h,9.424179852047336,47.442106714368286
ADD987FF8BA10164E0430A8394270164,at5,Accident when crossing the lane(s),as3,Accident with light injuries,False,True,False,rt433,2011,9,September,aw403,Wednesday,18.0,18h-19h,9.383784816660656,47.43955459187315
AE93998444C50106E0430A8394270106,at3,Accident when turning left or right,as3,Accident with light injuries,False,False,True,rt433,2011,9,September,aw404,Thursday,16.0,16h-17h,9.368921715152803,47.412930227671254
AFBC29D5C8E80152E0430A8394270152,at8,Accident involving pedestrian(s),as3,Accident with light injuries,True,False,False,rt433,2011,10,October,aw402,Tuesday,11.0,11h-12h,9.31730268147929,47.4160842013845
AE95C67C539C018EE0430A839427018E,at1,Accident when overtaking or changing lanes,as3,Accident with light injuries,False,True,False,rt433,2011,10,October,aw402,Tuesday,14.0,14h-15h,9.40345844436401,47.437611435308945
AF538E8887CD0086E0430A8394270086,at0,Accident with skidding or self-accident,as3,Accident with light injuries,False,False,True,rt433,2011,10,October,aw405,Friday,9.0,09h-10h,9.381273169606205,47.41797740174756
AE95C67C3F54018EE0430A839427018E,at2,Accident with rear-end collision,as3,Accident with light injuries,False,False,False,rt432,2011,10,October,aw405,Friday,18.0,18h-19h,9.304272695492305,47.40282726457191
B02E72823DCA002EE0430A839427002E,at0,Accident with skidding or self-accident,as3,Accident with light injuries,False,False,False,rt430,2011,10,October,aw405,Friday,18.0,18h-19h,9.415312411208074,47.439730543944854
AFBC29D5C7010152E0430A8394270152,at8,Accident involving pedestrian(s),as3,Accident with light injuries,True,False,False,rt439,2011,10,October,aw406,Saturday,11.0,11h-12h,9.374904938244939,47.425839570862706
B149F8073AC80182E0430A8394270182,at2,Accident with rear-end collision,as3,Accident with light injuries,False,False,False,rt430,2011,10,October,aw401,Monday,17.0,17h-18h,9.383139274427949,47.4324129709237
B2E17832320001AEE0430A83942701AE,at2,Accident with rear-end collision,as2,Accident with severe injuries,False,False,False,rt430,2011,10,October,aw402,Tuesday,17.0,17h-18h,9.311505367720702,47.41179691815221
AF53FCC8AB5901A0E0430A83942701A0,at3,Accident when turning left or right,as3,Accident with light injuries,False,True,False,rt432,2011,10,October,aw402,Tuesday,18.0,18h-19h,9.399328433328149,47.43312913999248
B105201697C300FEE0430A83942700FE,at8,Accident involving pedestrian(s),as3,Accident with light injuries,True,False,False,rt433,2011,10,October,aw404,Thursday,20.0,20h-21h,9.376955649903742,47.426452967769116
B09411F3793F0176E0430A8394270176,at2,Accident with rear-end collision,as3,Accident with light injuries,False,False,False,rt432,2011,10,October,aw405,Friday,1.0,01h-02h,9.369554770935316,47.42197947560855
AE93A5C2052E01E2E0430A83942701E2,at0,Accident with skidding or self-accident,as3,Accident with light injuries,False,True,False,rt432,2011,10,October,aw405,Friday,10.0,10h-11h,9.387739308212597,47.43383796654829
AE93A5C204A601E2E0430A83942701E2,at0,Accident with skidding or self-accident,as3,Accident with light injuries,False,False,True,rt432,2011,10,October,aw405,Friday,19.0,19h-20h,9.300842058844093,47.40779481095011
B1B1D46C2C2700F4E0430A83942700F4,at2,Accident with rear-end collision,as3,Accident with light injuries,False,False,False,rt430,2011,10,October,aw406,Saturday,12.0,12h-13h,9.303766649326702,47.40880924449486
B1054BC90B92014CE0430A839427014C,at3,Accident when turning left or right,as3,Accident with light injuries,False,False,True,rt432,2011,10,October,aw401,Monday,12.0,12h-13h,9.30677615263941,47.40733014660738
B53ABCA71918002AE0430A839427002A,at2,Accident with rear-end collision,as3,Accident with light injuries,False,False,False,rt430,2011,10,October,aw404,Thursday,17.0,17h-18h,9.361901224617236,47.42441928407847
B07FF16AF0270008E0430A8394270008,at2,Accident with rear-end collision,as3,Accident with light injuries,False,False,False,rt432,2011,10,October,aw407,Sunday,17.0,17h-18h,9.396321807089118,47.444390191405496
